,theta,p,pT,y,xsect_pT_y,error,log10theta,log10p,E,xsect_p_theta,xsect_log10theta_log10p,xsect_pT2_y
0,1e-06,1.0,9.999999999998333e-07,0.20900140357911612,67.16877219998881,4940.29,-6.0,0.0,4.8541219597369,13.837471072446942,7.336486173280595e-05,33584386.1
1,1.3379855589526716e-06,1.0,1.3379855589522724e-06,0.20900140357903105,68.55686115950792,4940.29,-5.8735485739381605,0.0,4.8541219597369,14.123431946737448,0.00010018969282918827,25619432.4
2,1.7902053559658965e-06,1.0,1.7902053559649402e-06,0.20900140357887892,32.29422845755984,4940.29,-5.74709714787632,0.0,4.8541219597369,6.652949539675396,6.314638003688798e-05,9019699.43
3,2.3952689138420964e-06,1.0,2.395268913839806e-06,0.20900140357860644,26.725409940988488,4940.29,-5.620645721814481,0.0,4.8541219597369,5.505714558197265,6.99196663763952e-05,5578791.13
4,3.2048352165289827e-06,1.0,3.2048352165234965e-06,0.20900140357811883,22.80706944660698,4940.29,-5.49419429575264,0.0,4.8541219597369,4.6984953480326554,7.983546935132794e-05,3558228.1
5,4.288023238538737e-06,1.0,4.288023238525596e-06,0.20900140357724575,27.6039892259394,4940.29,-5.367742869690801,0.0,4.8541219597369,5.686711099330429,0.00012928545647560523,3218731.3
6,5.7373131696183086e-06,1.0,5.737313169586833e-06,0.20900140357568273,36.361285565879406,4940.29,-5.241291443628961,0.0,4.8541219597369,7.490805931017489,0.00022786020273406072,3168842.67
7,7.676442168138276e-06,1.0,7.676442168062883e-06,0.20900140357288483,48.052179594885594,4940.29,-5.114840017567121,0.0,4.8541219597369,9.899252633835777,0.00040289675325253904,3129847.04
8,1.0270968765104371e-05,1.0,1.0270968764923785e-05,0.20900140356787578,63.06394418671608,4940.29,-4.988388591505281,0.0,4.8541219597369,12.99183347880576,0.0007074784754947337,3070009.54
9,1.3742407884163602e-05,1.0,1.3742407883731051e-05,0.20900140355890862,82.40475228184532,4940.29,-4.861937165443441,0.0,4.8541219597369,16.97624265837601,0.0012369034086871912,2998191.91
10,1.8387143294248238e-05,1.0,1.838714329321216e-05,0.20900140354285549,109.54507734634137,4940.29,-4.735485739381602,0.0,4.8541219597369,22.567434080761924,0.00220002603656612,2978849.83
11,2.4601732198097645e-05,1.0,2.4601732195615963e-05,0.20900140351411706,145.8083654938313,4940.29,-4.6090343133197615,0.0,4.8541219597369,30.038051516475353,0.003918039606607663,2963376.0
12,3.291676240627562e-05,1.0,3.2916762400331324e-05,0.20900140346266946,193.81362643736392,4940.29,-4.482582887257922,0.0,4.8541219597369,39.92763841637569,0.006968224177075261,2943995.89
13,4.4042152747073056e-05,1.0,4.404215273283488e-05,0.20900140337056786,257.902819280724,4940.29,-4.356131461196082,0.0,4.8541219597369,53.130683864132386,0.01240638693875111,2927908.87
14,5.892776436077148e-05,1.0,5.892776432666722e-05,0.20900140320568691,343.1791826949665,4940.29,-4.229680035134242,0.0,4.8541219597369,70.69850851328162,0.022088264494392017,2911863.25
15,7.884449773607815e-05,1.0,7.884449765438927e-05,0.20900140291051605,456.5785373178543,4940.29,-4.103228609072403,0.0,4.8541219597369,94.05996410988435,0.03931946292207273,2895436.91
16,0.00010549279937374939,1.0,0.00010549279917808257,0.2090014023820998,607.4536998815956,4940.29,-3.9767771830105625,0.0,4.8541219597369,125.1418289281138,0.0699933358404844,2879124.0
17,0.00014114784213556825,1.0,0.0001411478416668936,0.209001401436126,808.1083629856552,4940.29,-3.8503257569487226,0.0,4.8541219597369,166.47879259907506,0.12458465041670955,2862630.96
18,0.00018885377445472195,1.0,0.0001888537733321201,0.20900139974263887,1075.0685972545784,4940.29,-3.7238743308868827,0.0,4.8541219597369,221.47539888199444,0.22175965589851124,2846298.96
19,0.00025268362297412315,1.0,0.0002526836202851898,0.20900139671094897,1430.0987290046642,4940.29,-3.597422904825043,0.0,4.8541219597369,294.61532711101836,0.3946969854872498,2829820.8
20,0.0003380870385232187,1.0,0.0003380870320825003,0.20900139128360157,1902.3918741072455,4940.29,-3.470971478763203,0.0,4.8541219597369,391.9126651301439,0.7025046400247036,2813464.72
21,0.00045235557521314213,1.0,0.00045235555978588967,0.2090013815675354,2530.5564441256765,4940.29,-3.3445200527013634,0.0,4.8541219597369,521.321150378108,1.2503070201184028,2797087.81
22,0.0006052452271469138,1.0,0.0006052451901944958,0.2090013641737821,3365.9765496532686,4940.29,-3.2180686266395235,0.0,4.8541219597369,693.4264481965569,2.225169778958936,2780671.87
23,0.000809809373547601,1.0,0.0008098092850366243,0.20900133303539323,4477.099692860806,4940.29,-3.0916172005776836,0.0,4.8541219597369,922.3294614343539,3.9600462495316977,2764292.64
24,0.0010835132473112007,1.0,0.001083513035303615,0.20900127729128748,5954.751891262446,4940.29,-2.9651657745158437,0.0,4.8541219597369,1226.7413016514324,7.047232342548019,2747891.21
25,0.0014497250778363027,1.0,0.0014497245700211465,0.20900117749790598,7919.828596203985,4940.29,-2.838714348454004,0.0,4.8541219597369,1631.567698936277,12.54071007690443,2731494.23
26,0.0019397112185965128,1.0,0.0019397100022427562,0.20900099884730886,10532.975313450972,4940.29,-2.712262922392164,0.0,4.8541219597369,2169.903311210144,22.315613838970258,2715090.22
27,0.0025953055990206256,1.0,0.0025953026855267173,0.20900067902620925,14007.851678275649,4940.29,-2.585811496330324,0.0,4.8541219597369,2885.7642627164014,39.70824857177515,2698693.25
28,0.00347248141255861,1.0,0.0034724744339590784,0.20900010648126494,18628.404193303613,4940.29,-2.4593600702684846,0.0,4.8541219597369,3837.6465090533693,70.6539222211531,2682295.37
29,0.0046461299837349986,1.0,0.004646113268120442,0.20899908150984484,24772.13770950483,4940.28,-2.3329086442066447,0.0,4.8541219597369,5103.320006168018,125.71165242096257,2665899.03
30,0.006216454823254445,1.0,0.006216414784896669,0.2089972466056652,32940.7748584546,4940.27,-2.2064572181448048,0.0,4.8541219597369,6786.144874744769,223.66461733978747,2649499.43
31,0.00831752678139614,1.0,0.008317430878908827,0.20899396176686813,43801.24118662026,4940.26,-2.080005792082965,0.0,4.8541219597369,9023.514767435787,397.92508592852147,2633099.2
32,0.01112873071971014,1.0,0.011128501008091407,0.20898808128371704,58239.76252088337,4940.24,-1.953554366021125,0.0,4.8541219597369,11998.001493155736,707.9228378067594,2616693.95
33,0.014890080992445138,1.0,0.014889530774038026,0.20897755418067832,77433.98898836892,4940.2,-1.8271029399592855,0.0,4.8541219597369,15952.213321102041,1259.358524012143,2600283.05
